,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,condominio,iptu
0,R$ 750.000,Imóvel M6GRNX,Apartamento em Belo Horizonte,Rua Grão Mogol,"Apartamento à venda em Carmo com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 1.200/mês,R$ 292/mês
0,R$ 500.000,Imóvel DWSA6M,Apartamento em Belo Horizonte,Rua Professor Júlio Mourão,"Apartamento à venda em Luxemburgo com 110 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 350/mês,R$ 140/mês
0,R$ 260.000,Imóvel N6RW3S,Apartamento em Belo Horizonte,Rua Joaquim Pereira,"Apartamento à venda em Santa Mônica com 67 m², 3 quartos, 1 vaga","3 quartos
sem suíte",1 vaga,R$ 383/mês,R$ 720/mês
0,R$ 550.000,Imóvel 1CCZM3W,Apartamento em Belo Horizonte,Rua Stella Hanriot,"Apartamento à venda em Buritis com 105 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 700/mês,R$ 3.200/ano
0,R$ 430.000,Imóvel 5Q9UCJ,Apartamento em Belo Horizonte,Rua Júlio Pereira da Silva,"Apartamento à venda em Cidade Nova com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 370/mês,R$ 170/mês
0,R$ 450.000,Imóvel 14NX6EJ,Apartamento em Belo Horizonte,Rua Tereza Mota Valadares,"Apartamento à venda em Buritis com 102 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 468/mês,R$ 114/mês
0,R$ 700.000,Imóvel KBJ7SV,Apartamento em Belo Horizonte,Rua Joaquim Lustosa,"Apartamento à venda em Anchieta com 110 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 400/mês,R$ 163/mês
0,R$ 478.000,Imóvel I91H7S,Apartamento em Belo Horizonte,Rua Vereador Nelson Cunha,"Apartamento à venda em Estoril com 75 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 450/mês,R$ 110/mês
0,R$ 500.000,Imóvel 60YM38,Apartamento em Belo Horizonte,Rua Monsenhor Horta,"Apartamento à venda em Calafate com 110 m², 3 quartos, 1 vaga","3 quartos
sem suíte",1 vaga,R$ 400/mês,R$ 100/mês
0,R$ 590.000,Imóvel OWS0EF,Apartamento em Belo Horizonte,Rua Benjamim Jacob,"Apartamento à venda em Gutierrez com 95 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 800/mês,R$ 300/ano
0,R$ 500.000,Imóvel 19Z24EC,Apartamento em Belo Horizonte,Rua Professor Baroni,"Apartamento à venda em Gutierrez com 110 m², 3 quartos, 1 suíte, 3 vagas","3 quartos
1 suíte",3 vagas,R$ 1.200/mês,R$ 260/mês
0,R$ 145.000,Imóvel CE547K,Apartamento em Belo Horizonte,Rua Barão do Monte Alto,"Apartamento à venda em Cardoso com 50 m², 2 quartos, 1 vaga","2 quartos
sem suíte",1 vaga,R$ 280/mês,R$ 600/ano
0,R$ 159.900,Imóvel 1P0SGSJ,Apartamento em Belo Horizonte,Rua Barão do Monte Alto,"Apartamento à venda em Cardoso com 52 m², 2 quartos, 1 vaga","2 quartos
sem suíte",1 vaga,R$ 300/mês,Isento
